Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,Площадь,Идентификатор
4. Постановление Правительства СПб. об утверждении,"участок 1 севернее пересечения с 3-м Верхним пер. (""Северная долина"")",Выборгский,1431,17.11.2008,303.4,4481
4. Постановление Правительства СПб. об утверждении,"Территория северо-восточнее Ольгино, ограниченная проектным продолжением ул. Новой, проектируемыми про",Приморский,856,28.06.2011,19.9,4483
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченной пр. Энгельса, Новороссийской ул., Новосильцевским пер.",Выборгский,508,27.04.2010,1,4485
4. Постановление Правительства СПб. об утверждении,расположенная северо-западнее пересечения кольцевой автомобильной дороги вокруг Санкт-Петербурга (КАД),Выборгский,1157,13.10.2009,211.5,4489
4. Постановление Правительства СПб. об утверждении,кварталы 29 и 29А Юго-Западной части Санкт-Петербурга (участки 1 и 2 северо-западнее пересечения ул. Д,Красносельский,607,17.05.2011,40,4492
4. Постановление Правительства СПб. об утверждении,"ограниченная Таллинским шоссе, проектируемым проездом, границей отвода Октябрьской железной дороги, гр",Красносельский,927,04.08.2009,16.1,4500
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Плеханова, ул. Тургенева, Санкт-Петербургским ш., Кропоткинской ул.",Петродворцовый,621,17.05.2010,2,4501
4. Постановление Правительства СПб. об утверждении,"ограниченная проектным подолжением Индустриального пр., Шафировским пр., продолжением Шафировского пр.",Красногвардейский,81,13.02.2014,90.9,4503
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Лобачика, Вокзальной ул., Речной ул., Александровским шоссе, в границах муниципальног",Курортный,605,17.05.2011,2.3,4511
4. Постановление Правительства СПб. об утверждении,"квартал, ограниченный ул. Бабушкина, Леснозаводской ул., Белевским пер. и ул. Шелгунова",Невский,70,20.01.2009,10.7,4518
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Карбышева, Политехнической ул., Новороссийской ул., Октябрьской железной ",Калининский,1521,22.12.2009,28.8,4520
4. Постановление Правительства СПб. об утверждении,"ограниченная Боткинской ул., ул. Академика Лебедева, внутриквартальным проездом, Октябрьской железной ",Калининский,749,23.06.2009,2.8,4523
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Суздальским пр., пр. Энгельса, ул. Шостаковича, ул. Симонова",Выборгский,1757,21.12.2010,31.6,4537
4. Постановление Правительства СПб. об утверждении," ограниченная Дальневосточным пр., ул.Зольной, Складской ул., перспективным положением ул. Еремеева",Невский,227,24.02.2009,9.5,4541
4. Постановление Правительства СПб. об утверждении," ограниченная  пр. 9-ого Января,Грузовым проездом и отводом Окт.ж.д.",Фрунзенский,68,20.01.2009,3.6,4542
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Ивана Черных, проектируемой магистралью,ул. Маршала Говорова, ул. Метростроевцев, Мол",Кировский,1336,13.09.2011,5.4,4552
